Nome: CARANGOLA
Codigo Estacao: A503
Latitude: -20.74166666
Longitude: -42.01749999
Altitude: 399
Situacao: Desativada
Data Inicial: 2010-01-01
Data Final: 2010-09-21
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MEDIA, DIARIA (AUT)(°C);
2010-07-31;0;20,6;
2010-08-01;0;20,5;
2010-08-02;0;19,9;
2010-08-03;0;null;
2010-08-04;null;19,2;
2010-08-05;,2;19,9;
2010-08-06;0;20,2;
2010-08-07;0;18,8;
2010-08-08;0;19,1;
2010-08-09;0;22,1;
2010-08-10;0;19,9;
2010-08-11;0;19;
2010-08-12;0;19,4;
2010-08-13;0;19,5;
2010-08-14;0;22,4;
2010-08-15;2,8;16,4;
2010-08-16;7,6;15,3;
2010-08-17;0;15,1;
2010-08-18;,2;13,5;
2010-08-19;0;15;
2010-08-20;,2;17,1;
2010-08-21;0;18,8;
2010-08-22;0;18,7;
2010-08-23;0;20,3;
2010-08-24;0;20,9;
2010-08-25;0;21,5;
2010-08-26;0;22,1;
2010-08-27;0;22,3;
2010-08-28;0;22,5;
2010-08-29;0;22;
2010-08-30;0;23,3;
2010-08-31;0;20,9;
2010-09-01;0;20;
2010-09-02;0;21,3;
2010-09-03;0;22,6;
2010-09-04;0;23,3;
2010-09-05;0;26,6;
2010-09-06;0;21,6;
2010-09-07;0;22,1;
2010-09-08;4,4;21,3;
2010-09-09;0;19,5;
2010-09-10;0;20,1;
2010-09-11;0;19,2;
2010-09-12;0;19,7;
2010-09-13;0;21,7;
2010-09-14;0;23,1;
2010-09-15;0;25,3;
2010-09-16;0;22,4;
2010-09-17;0;24,8;
2010-09-18;0;24,7;
2010-09-19;0;18,5;
2010-09-20;0;19,6;
2010-09-21;0;22,6;

